[INFO ] 2024-02-01 13:45:19,090 2024-02-01 13:45:19.090 [main] E-commerce_MyShop - URL is Opened
[INFO ] 2024-02-01 13:45:19,108 2024-02-01 13:45:19.108 [main] E-commerce_MyShop - **********************TestCase Search Product Started*********************************
[INFO ] 2024-02-01 13:45:19,947 2024-02-01 13:45:19.947 [main] E-commerce_MyShop - Email is Entered
[INFO ] 2024-02-01 13:45:20,022 2024-02-01 13:45:20.022 [main] E-commerce_MyShop - Password is Entered
[INFO ] 2024-02-01 13:45:20,766 2024-02-01 13:45:20.766 [main] E-commerce_MyShop - Clicked on SignIn Btn
[INFO ] 2024-02-01 13:45:20,806 2024-02-01 13:45:20.806 [main] E-commerce_MyShop - Entered Product Name
[INFO ] 2024-02-01 13:45:21,484 2024-02-01 13:45:21.484 [main] E-commerce_MyShop - Clicked on serach btn
[INFO ] 2024-02-01 13:45:21,491 2024-02-01 13:45:21.491 [main] E-commerce_MyShop - **********************TestCase Search Product Started*********************************
[INFO ] 2024-02-01 13:49:06,094 2024-02-01 13:49:06.094 [main] E-commerce_MyShop - URL is Opened
[INFO ] 2024-02-01 13:49:06,112 2024-02-01 13:49:06.112 [main] E-commerce_MyShop - **********************TestCase Search Product Started*********************************
[INFO ] 2024-02-01 13:49:07,135 2024-02-01 13:49:07.135 [main] E-commerce_MyShop - Email is Entered
[INFO ] 2024-02-01 13:49:07,162 2024-02-01 13:49:07.162 [main] E-commerce_MyShop - Password is Entered
[INFO ] 2024-02-01 13:49:07,929 2024-02-01 13:49:07.929 [main] E-commerce_MyShop - Clicked on SignIn Btn
[INFO ] 2024-02-01 13:49:07,963 2024-02-01 13:49:07.963 [main] E-commerce_MyShop - Entered Product Name
[INFO ] 2024-02-01 13:49:08,619 2024-02-01 13:49:08.619 [main] E-commerce_MyShop - Clicked on serach btn
[INFO ] 2024-02-01 13:49:08,627 2024-02-01 13:49:08.627 [main] E-commerce_MyShop - **********************TestCase Search Product Started*********************************
[INFO ] 2024-02-01 20:20:00,044 2024-02-01 20:20:00.044 [main] E-commerce_MyShop - URL is Opened
[INFO ] 2024-02-01 20:20:00,107 2024-02-01 20:20:00.107 [main] E-commerce_MyShop - **********************TestCase Search Product Started*********************************
[INFO ] 2024-02-01 20:20:01,212 2024-02-01 20:20:01.212 [main] E-commerce_MyShop - Email is Entered
[INFO ] 2024-02-01 20:20:01,291 2024-02-01 20:20:01.291 [main] E-commerce_MyShop - Password is Entered
[INFO ] 2024-02-01 20:20:02,139 2024-02-01 20:20:02.139 [main] E-commerce_MyShop - Clicked on SignIn Btn
[INFO ] 2024-02-01 20:20:02,199 2024-02-01 20:20:02.199 [main] E-commerce_MyShop - Entered Product Name
[INFO ] 2024-02-01 20:20:02,996 2024-02-01 20:20:02.996 [main] E-commerce_MyShop - Clicked on serach btn
[INFO ] 2024-02-01 20:20:02,996 2024-02-01 20:20:02.996 [main] E-commerce_MyShop - Test case is Finished
[INFO ] 2024-02-05 10:37:52,319 2024-02-05 10:37:52.319 [main] E-commerce_MyShop - URL is Opened
[INFO ] 2024-02-05 10:37:52,340 2024-02-05 10:37:52.340 [main] E-commerce_MyShop - **********************TestCase Search Product Started*********************************
[INFO ] 2024-02-05 10:37:53,597 2024-02-05 10:37:53.597 [main] E-commerce_MyShop - Email is Entered
[INFO ] 2024-02-05 10:37:53,651 2024-02-05 10:37:53.651 [main] E-commerce_MyShop - Password is Entered
[INFO ] 2024-02-05 10:37:54,801 2024-02-05 10:37:54.801 [main] E-commerce_MyShop - Clicked on SignIn Btn
[INFO ] 2024-02-05 10:37:54,836 2024-02-05 10:37:54.836 [main] E-commerce_MyShop - Entered Product Name
